case,symbol,block_rms_error,filtered_mean_error
Measured SIP capture,2400,473.4627889285493,1163.4990688952078
Measured SIP capture,2560,422.90027636548075,941.3194311362896
Measured SIP capture,2720,428.463402754541,787.4626226217649
Measured SIP capture,2880,379.2912798892165,665.0112198020004
Measured SIP capture,3040,388.9833061970655,582.2028457205199
Measured SIP capture,3200,360.7849342059615,515.7774722661524
Measured SIP capture,3360,370.3266126002829,472.1422143663915
Measured SIP capture,3520,395.41056985113585,449.1227210118148
Measured SIP capture,3680,398.26037337400265,433.86401672047117
Measured SIP capture,3840,382.2652874640856,418.38439794355554
Measured SIP capture,4000,383.06659016416455,407.7890556097382
Measured SIP capture,4160,373.39688168221227,397.47140343148044
Measured SIP capture,4320,402.29491669669403,398.9184574110445
Measured SIP capture,4480,408.2282832558273,401.7114051644794
Measured SIP capture,4640,388.6409493349871,397.7902684156317
Measured SIP capture,4800,390.32753073540687,395.55144711156424
Measured SIP capture,4960,349.0476865701877,381.60031894915124
Measured SIP capture,5120,414.4375329889898,391.45148316110283
Measured SIP capture,5280,409.0385831434487,396.7276131558066
Measured SIP capture,5440,466.2461460966729,417.5831730380665
Measured SIP capture,5600,403.98984362233665,413.5051742133475
Measured SIP capture,5760,462.78666791514206,428.28962232388585
Measured SIP capture,5920,390.5627110337084,416.9715489368326
Measured SIP capture,6080,366.42231441330097,401.80677857977315
Measured SIP capture,6240,402.961218667504,402.1531106060924
Measured SIP capture,6400,413.56843448213016,405.57770776890374
Measured SIP capture,6560,427.04791153920894,412.0187688999953
Measured SIP capture,6720,450.5243750342483,423.5704507402712
Measured SIP capture,6880,451.50110741835397,431.949647743696
Measured SIP capture,7040,384.1689813740823,417.6154478328119
Measured SIP capture,7200,429.81917709660183,421.27656661194885
Measured SIP capture,7360,439.2299867381552,426.66259264981073
Measured SIP capture,7520,427.8058847187589,427.0055802704952
Measured SIP capture,7680,389.24759151470676,415.67818364375864
Measured SIP capture,7840,452.8202112869963,426.82079193672996
Measured SIP capture,8000,416.3945169547745,423.69290944214333
Measured SIP capture,8160,410.34945473340156,419.6898730295208
Measured SIP capture,8320,407.31671491604664,415.97792559547855
Measured SIP capture,8480,411.7047865279198,414.6959838752109
Measured SIP capture,8640,373.33171409619086,402.28670294150487
Measured SIP capture,8800,412.18372723823046,405.25581023052257
Measured SIP capture,8960,420.5789313553403,409.85274656796787
Measured SIP capture,9120,450.14439350057444,421.9402406477499
Measured SIP capture,9280,436.4976660876894,426.3074682797317
Measured SIP capture,9440,412.59313342565457,422.1931678235086
Measured SIP capture,9600,425.1833942547616,423.0902357528845
Measured SIP capture,9760,426.97112753674577,424.2545032880429
Measured SIP capture,9920,434.1465118482469,427.2221058561041
