path,frequency_hz,q25_db_rel_3600,median_db_rel_3600,q75_db_rel_3600
SIP D/A-A/D,109.86328125,-11.037698705378077,-10.628066216879029,-10.117088047550261
SIP D/A-A/D,110.3515625,-10.938781198136445,-10.5203496908448,-9.99646749110317
SIP D/A-A/D,110.83984375,-10.83982624286425,-10.412874816812952,-9.873550369995305
SIP D/A-A/D,111.328125,-10.740837031928299,-10.305645876213969,-9.768138331020271
SIP D/A-A/D,111.81640625,-10.641817118671629,-10.19677618683336,-9.664407578435323
SIP D/A-A/D,112.3046875,-10.54277040048451,-10.082610619205557,-9.551926602643633
SIP D/A-A/D,112.79296875,-10.443701101855199,-9.968956571674488,-9.440008854619123
SIP D/A-A/D,113.28125,-10.344613757437562,-9.855815831874837,-9.32865374089565
SIP D/A-A/D,113.76953125,-10.239620585601521,-9.743190045905793,-9.217860580087553
SIP D/A-A/D,114.2578125,-10.116351705461625,-9.63108072345271,-9.107628608026584
SIP D/A-A/D,114.74609375,-9.993869021355628,-9.519489242764953,-8.997956982654781
SIP D/A-A/D,115.234375,-9.872168913348364,-9.402853050450933,-8.888844788684214
SIP D/A-A/D,115.72265625,-9.751247635103704,-9.285559998365006,-8.780291042033937
SIP D/A-A/D,116.2109375,-9.631101326294216,-9.168899261134595,-8.672294694054113
SIP D/A-A/D,116.69921875,-9.519764619488623,-9.052870354931091,-8.564854635547025
SIP D/A-A/D,117.1875,-9.413149820149037,-8.937472659891426,-8.457969700593889
SIP D/A-A/D,117.67578125,-9.30672694243461,-8.822705428046124,-8.35163867019645
SIP D/A-A/D,118.1640625,-9.20050519522053,-8.708567790867928,-8.245860275741695
SIP D/A-A/D,118.65234375,-9.094493647415414,-8.595058766457878,-8.140633202297803
SIP D/A-A/D,119.140625,-8.988701222077733,-8.48217726638445,-8.035956091748993
SIP D/A-A/D,119.62890625,-8.88313669108595,-8.369922102191232,-7.931827545776701
SIP D/A-A/D,120.1171875,-8.777808670343,-8.25829199158781,-7.828258833594833
SIP D/A-A/D,120.60546875,-8.672725615495288,-8.149499145304304,-7.735426357818951
SIP D/A-A/D,121.09375,-8.567895818145978,-8.052715268790084,-7.64282316007471
SIP D/A-A/D,121.58203125,-8.463327402542216,-7.956203413800859,-7.550452225757925
SIP D/A-A/D,122.0703125,-8.35902832271576,-7.855764220092018,-7.4583165681458
SIP D/A-A/D,122.55859375,-8.255006360056438,-7.749223048281483,-7.366419223660185
SIP D/A-A/D,123.046875,-8.151269121298132,-7.647397646613809,-7.274763247311367
SIP D/A-A/D,123.53515625,-8.04782403689656,-7.55469349250121,-7.183351708320692
SIP D/A-A/D,124.0234375,-7.944678359779218,-7.462328146957665,-7.092187685920565
SIP D/A-A/D,124.51171875,-7.8418391644471885,-7.370301153264554,-7.001274265329788
SIP D/A-A/D,125.0,-7.739313346409467,-7.278612123674192,-6.910614533902163
SIP D/A-A/D,125.48828125,-7.637107621930625,-7.187260736044754,-6.820211577445916
SIP D/A-A/D,125.9765625,-7.5352285280730555,-7.096246730573272,-6.730068476711442
SIP D/A-A/D,126.46484375,-7.4336824230154335,-6.998348468878712,-6.640188304044542
SIP D/A-A/D,126.953125,-7.332475486629747,-6.899852719665159,-6.5505741202023
SIP D/A-A/D,127.44140625,-7.231613721299391,-6.801877739327162,-6.461228971328382
SIP D/A-A/D,127.9296875,-7.13110295296193,-6.7044227795197475,-6.372155886084742
SIP D/A-A/D,128.41796875,-7.0309488323599165,-6.607487051495744,-6.2833578729361355
SIP D/A-A/D,128.90625,-6.931156836484551,-6.511069728013634,-6.194837917584173
SIP D/A-A/D,129.39453125,-6.831732270196966,-6.415169945177654,-6.106598980547225
